Bib,Name,Miles,KM,May 1,May 2,May 3,May 4,May 5,May 6,May 7,May 8,May 9,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31
6110,Chris Renwick,297.9,479.5,6,9,15,11,11,2,6,6,4,12,9,9,10,7,4,7,17,25,6,3,13,2,6,20,0,9,4,12,12,4,19
3112,Ben Zandstra,297.9,479.5,7,8,8,8,5,9,8,3,8,6,5,25,21,20,6,17,6,4,6,0,11,7,17,7,5,4,7,5,13,5,15
75,Scott Page,297.9,479.4,0,13,20,0,10,0,10,0,50,3,6,0,13,0,6,35,0,5,5,0,8,0,26,13,2,7,5,0,10,14,14
349,Kevin Bowen,297.9,479.4,7,7,5,6,6,9,6,9,9,19,5,5,9,8,10,7,11,8,10,8,10,6,13,8,8,11,8,8,9,14,13
6367,Logan Mueller,297.9,479.3,5,27,5,8,4,8,10,21,4,5,4,8,12,9,8,5,16,3,9,6,5,10,21,11,11,7,8,8,4,16,5
6510,Casey Erickson,297.9,479.3,6,6,6,26,26,26,5,8,8,10,10,31,10,0,0,0,63,0,0,0,0,0,0,0,2,3,4,0,0,10,11
1443,Don Pawluk,297.8,479.3,0,16,4,6,6,8,0,6,16,5,0,12,10,10,10,16,5,10,10,0,0,10,16,8,10,16,16,16,16,20,6
17695,Cindy Southgate,297.8,479.3,2,8,4,2,8,11,10,13,4,8,14,7,9,10,11,7,7,15,10,9,11,9,6,9,11,7,11,6,10,8,9
11659,ALBERT SHARPE,297.8,479.2,13,5,11,13,15,20,13,9,9,15,14,0,15,3,7,7,6,6,7,14,10,4,12,12,11,5,3,0,0,0,13
6732,Rachel Eskite,297.8,479.2,3,13,6,8,16,5,2,9,26,0,4,4,6,11,6,7,2,3,5,16,16,2,13,20,7,8,5,8,6,36,3
13881,Moose Sybersma,297.7,479.1,10,9,11,8,9,9,12,8,9,12,6,12,9,11,8,13,9,12,8,14,8,8,10,16,8,10,8,8,7,11,7
10875,Laura Walker,297.6,478.9,7,8,16,2,6,11,6,11,13,10,3,8,11,7,12,8,17,3,7,11,7,12,10,10,3,8,11,10,7,5,12
11552,Ellen Carson,297.6,478.9,3,8,6,9,7,9,8,10,12,12,8,9,7,9,8,8,8,9,9,9,8,10,10,8,10,10,9,9,10,10,11
19328,Ambr Montgomery,297.6,478.9,3,30,5,0,7,6,3,7,5,0,7,7,9,10,9,9,9,17,9,11,8,13,17,9,9,12,0,20,12,12,0
9108,Louie Maione,297.5,478.8,12,16,13,5,7,10,13,0,5,11,5,6,14,8,5,12,12,7,16,10,15,15,5,4,6,0,9,1,7,8,23
13158,Amanda Stevenson,297.5,478.8,4,8,14,6,10,9,4,11,10,10,6,10,6,6,19,5,8,5,14,6,8,5,26,7,6,6,9,5,8,10,9
2616,Elsa Thompson,297.5,478.7,10,12,7,7,8,8,9,8,10,9,8,8,9,7,8,10,9,9,8,10,9,11,10,7,10,9,9,9,7,12,9
14610,Matthew Jezewski,297.5,478.7,8,15,17,0,11,8,12,31,5,25,8,0,0,10,15,11,7,3,0,5,6,0,25,0,9,3,0,0,33,31,0
7222,G Bli,297.4,478.7,7,6,15,5,5,7,10,5,6,8,8,8,17,5,6,9,15,7,7,9,9,15,8,15,7,9,9,11,10,7,10
493,Andy Broome,297.4,478.7,10,16,10,10,10,12,12,0,16,0,10,12,10,10,10,17,0,10,11,9,12,10,14,0,10,11,10,10,0,15,10
5704,Keith Miller,297.3,478.5,6,11,15,0,6,7,8,6,13,13,3,8,8,8,8,13,17,3,8,11,6,6,14,0,2,3,11,6,26,13,20
11131,Julia Stell,297.2,478.3,7,11,0,3,8,9,2,2,31,2,0,6,12,7,8,5,18,4,10,12,4,10,4,10,10,10,10,11,11,2,16
8749,Lisa McManus,297.2,478.3,10,8,11,8,10,8,9,10,9,8,10,8,9,9,8,8,8,8,8,8,8,8,10,8,8,8,8,8,8,8,10
4533,Andre Lee,297.2,478.3,7,11,0,11,0,7,9,2,8,7,13,0,0,8,0,8,0,15,16,6,8,9,31,6,21,10,18,15,9,13,12
10800,Scott Eastwood,297.2,478.3,9,14,11,9,11,13,9,9,8,10,10,11,10,5,6,10,10,6,9,11,15,0,6,6,7,5,12,8,0,17,8
3275,Sylvain Gauthier,297.0,478.0,6,6,4,9,10,10,5,14,7,10,10,9,5,14,6,7,6,10,10,9,11,10,8,8,11,1,10,9,10,13,9
12176,Phil Ewart,297.0,478.0,0,19,6,9,5,3,8,7,18,10,8,10,7,10,7,26,7,8,10,7,6,0,13,10,6,11,8,12,8,11,6
14503,Shawn Brandon,297.0,478.0,0,11,12,10,7,13,7,0,15,9,5,7,0,5,15,11,6,10,0,7,14,11,9,10,14,12,6,22,0,12,12
4377,Daniel Muehlebach,297.0,478.0,7,9,10,4,5,6,6,0,11,13,10,13,16,5,5,3,31,7,16,6,3,0,11,14,15,6,8,6,6,15,15
17742,Letitia Fitzsimmons,297.0,477.9,0,5,6,4,6,6,5,14,9,8,13,7,9,6,4,16,14,4,8,7,4,6,10,18,6,12,16,12,9,13,11
8740,Colleen Walters,296.9,477.9,4,8,15,7,11,11,10,5,15,16,11,11,9,6,19,13,17,14,5,0,16,10,13,17,7,3,4,4,0,13,0
16629,michael hee,296.9,477.9,0,0,15,10,0,10,11,0,13,13,5,12,5,12,5,14,13,7,8,9,11,6,14,11,7,12,7,12,0,14,15
7251,Cheryl Smith,296.9,477.8,7,6,7,8,8,8,11,6,9,8,7,5,8,11,7,8,8,8,10,8,12,9,8,8,11,9,8,12,10,10,10
10749,Matthew Anderson,296.9,477.8,8,7,8,6,12,9,9,5,13,6,14,12,6,10,6,14,8,6,9,8,6,15,8,9,8,11,7,6,8,10,6
1467,Adam Benkers,296.9,477.7,7,12,16,4,10,10,8,4,14,18,0,9,11,6,6,24,12,3,9,9,9,4,10,9,3,4,7,0,3,42,12
6670,Susan Tomlinson,296.9,477.7,13,11,13,11,0,9,10,13,9,14,11,7,5,5,8,15,8,5,11,9,14,9,10,5,7,12,8,3,9,10,14
108,Ryan Buck,296.8,477.7,9,13,7,9,2,8,2,6,9,27,6,0,8,9,6,26,0,7,5,6,8,11,8,11,10,9,9,7,9,8,11
11848,Gunther Van Houdt,296.7,477.5,19,7,6,7,12,16,11,9,13,0,0,7,11,11,6,10,12,0,7,11,12,7,9,17,7,0,11,9,16,4,22
15489,Tina Chaff,296.6,477.4,4,26,3,6,9,6,9,6,6,11,9,8,9,9,6,12,10,7,9,8,8,4,11,13,7,8,9,9,6,12,15
3674,ANITA BURNS,296.6,477.3,8,13,0,9,10,5,10,7,13,0,9,7,10,8,8,13,5,10,7,11,8,10,13,7,13,6,7,9,8,10,15
10702,David Harvey,296.5,477.2,11,12,11,10,9,17,10,14,2,9,8,5,10,11,14,15,16,3,13,10,4,6,16,14,8,3,9,0,1,0,23
14592,Myla Gilbert,296.5,477.1,0,17,2,0,5,16,15,14,8,9,10,6,0,5,5,23,28,11,0,18,8,0,0,7,5,15,12,5,0,20,12
6879,Randy Goad,296.4,477.1,10,5,6,13,7,6,7,5,6,8,15,21,6,6,5,6,10,9,6,5,18,10,15,5,10,6,6,16,8,15,5
13306,Amanda Day,296.4,477.1,5,16,11,4,14,8,6,8,13,13,0,13,8,11,6,17,7,0,12,11,0,9,14,0,10,8,10,11,4,13,15
3626,Michelle Oxtoby,296.4,477.1,6,7,6,9,5,8,6,7,7,6,7,8,9,10,9,8,8,11,12,10,8,11,8,8,8,11,10,14,10,8,8
17253,Michel VIAL,296.4,477.0,9,9,9,5,7,9,7,11,12,11,7,4,10,11,5,13,12,6,5,8,10,6,10,12,5,7,10,7,11,11,12
15363,John Christopher White,296.4,477.0,0,0,19,14,18,11,13,13,13,19,7,5,4,10,0,0,27,11,12,0,12,0,0,0,12,6,10,10,10,0,22
2206,Cathy Menard,296.4,476.9,5,10,8,0,10,9,9,0,15,5,4,13,10,8,6,13,10,0,10,10,10,10,16,9,9,10,11,6,7,10,9
5392,Jada Freer,296.4,476.9,6,20,16,2,10,0,8,6,26,15,0,8,9,10,4,20,20,0,6,9,0,6,13,13,0,3,5,6,2,50,0
7484,Dezza Colby,296.4,476.9,7,6,15,5,4,8,0,7,12,5,7,8,0,12,7,8,21,12,8,11,7,5,9,8,14,10,13,12,8,10,9
4969,Dan-O Semsel,296.2,476.7,4,22,20,3,7,6,11,2,10,19,3,7,6,11,3,4,33,4,7,6,7,4,17,13,12,7,5,4,3,4,18
12274,Wendy Martin,296.2,476.7,6,5,10,7,9,7,9,8,13,7,11,7,11,10,6,11,7,9,6,11,17,0,10,16,6,0,11,7,10,11,6
2129,Josam Mulinyawe,296.2,476.7,13,13,14,0,13,13,13,13,13,14,0,13,13,13,13,13,26,0,13,13,13,13,13,2,0,0,0,0,0,0,0
9872,Curtis Rushing,296.2,476.7,7,17,7,0,14,11,4,7,19,8,10,14,15,0,7,21,7,4,14,16,5,7,17,5,4,7,7,0,7,15,7
4384,Oak Miller,296.1,476.5,2,17,4,9,3,5,1,1,69,3,5,4,11,4,2,9,13,4,1,2,2,2,13,11,8,9,9,5,4,17,10
10967,Lynne Mulligan,296.1,476.5,11,8,2,10,7,8,10,8,16,7,12,6,8,5,8,5,9,12,8,11,12,8,11,6,7,11,12,13,14,11,11
951,Pam Taylor,296.0,476.4,6,9,6,11,9,6,8,6,11,8,11,9,7,10,7,10,8,11,9,7,9,7,10,6,11,9,7,9,7,13,8
8639,Kristen Suchovs,296.0,476.4,12,17,4,11,18,3,6,0,19,11,4,13,9,8,0,26,17,5,3,0,0,9,18,20,9,0,1,10,9,6,2
11068,Jiang Johnson,296.0,476.3,8,12,12,8,6,6,11,6,8,13,5,6,5,10,6,15,7,10,5,6,5,7,18,10,9,6,8,7,6,16,17
2197,Carmen Cordogan,296.0,476.3,12,8,9,8,7,7,8,7,11,8,7,14,7,8,7,10,9,7,9,9,3,9,5,14,8,9,10,7,8,11,10
17599,Pamela Renfroe,296.0,476.3,10,10,13,5,12,10,13,3,8,9,7,12,9,13,10,8,5,10,10,8,8,12,7,11,10,9,11,9,0,12,10
11554,william justus,295.9,476.2,3,0,14,9,4,7,6,7,11,12,6,5,4,0,7,13,11,18,10,13,9,11,12,11,10,12,7,4,10,9,20
12050,Bruce Rohrs,295.9,476.1,6,17,12,0,9,7,4,7,7,17,0,10,6,9,7,8,22,0,10,0,8,6,13,6,12,18,7,7,6,10,27
9397,Tom Fanthorpe,295.8,476.0,1,1,2,2,3,4,4,5,6,6,7,7,8,9,9,10,11,11,12,0,13,14,14,15,16,0,33,17,18,19,19
16778,Jason Reusch,295.8,476.0,0,0,5,6,7,5,4,0,14,6,8,10,11,11,11,10,8,11,12,8,13,7,12,9,13,20,3,4,11,12,12
4455,Gord Lachine,295.8,476.0,0,15,8,6,3,10,3,0,50,0,5,10,11,1,10,18,7,7,8,3,10,6,20,7,8,9,9,15,0,15,10
3585,Jenny Paul,295.7,475.9,10,10,5,4,5,8,4,10,14,5,6,6,6,7,8,15,6,5,8,5,8,9,17,5,11,10,10,10,11,22,5
2184,Ed West,295.7,475.9,17,3,12,4,7,14,7,0,9,20,5,10,0,0,27,5,9,7,2,10,6,4,20,10,6,12,7,4,5,18,10
2097,Teresa Reason,295.7,475.9,8,10,17,5,12,5,10,0,16,10,5,11,6,8,0,15,11,8,9,6,11,0,28,6,5,0,10,11,0,20,15
4190,Amanda Mcmahon,295.7,475.8,12,8,10,9,7,8,5,10,9,6,0,9,14,0,11,10,16,10,8,12,9,0,10,0,10,12,10,11,11,11,13
6874,Luke Thomas,295.7,475.8,13,13,19,13,13,17,13,6,16,12,12,3,12,14,11,10,0,4,12,5,6,0,11,0,9,13,6,6,0,10,0
3036,Rachel Durst,295.6,475.7,9,12,7,8,7,7,9,2,13,5,9,10,7,4,10,18,3,2,11,9,9,9,9,8,15,9,5,6,10,12,10
9101,Kelly Wilson,295.6,475.7,14,21,4,9,7,6,4,2,16,8,2,8,3,10,5,20,11,2,8,7,23,4,5,12,2,8,3,9,6,27,15
4655,Emily Daffron,295.5,475.6,6,0,22,9,6,9,5,8,15,6,7,8,6,8,9,16,8,8,8,7,4,11,15,6,10,5,6,6,12,15,7
7791,KP Kelly,295.5,475.6,9,5,5,8,7,8,27,9,7,5,8,20,8,9,3,12,6,2,10,6,11,2,22,17,20,2,0,8,0,12,4
9103,Adam Needham,295.5,475.6,5,18,5,11,6,6,9,6,12,11,5,6,8,10,8,14,12,7,7,6,8,7,13,13,4,11,7,7,8,19,9
7188,Jennifer Genevish,295.5,475.6,6,6,16,1,8,13,11,5,1,31,1,11,5,1,11,17,12,1,0,12,11,4,19,27,0,1,7,1,5,36,6
12900,Stephanie Clemens,295.5,475.6,4,32,3,8,6,8,6,8,12,4,8,8,10,7,14,9,3,8,7,10,7,5,22,4,8,7,7,5,8,14,6
6927,Ashton Teulon,295.4,475.4,6,21,9,5,10,9,5,5,15,8,6,6,10,9,4,4,18,4,8,5,1,11,4,21,9,6,15,4,6,16,15
1955,Alana Giustizia,295.4,475.4,9,7,25,0,6,0,8,10,12,17,0,8,5,8,5,15,5,0,5,5,6,5,12,20,0,10,0,6,33,31,7
10572,Nicola Arnot,295.4,475.3,6,8,8,7,6,5,8,13,4,10,6,7,7,7,9,10,13,10,7,5,10,14,10,7,5,11,8,12,7,14,15
1104,Tracey Engelking,295.3,475.2,8,9,10,10,8,10,8,9,8,9,7,0,10,11,7,9,3,5,14,9,10,12,8,10,13,10,8,8,9,11,8
11277,Natalie DeFilippo,295.3,475.2,7,12,11,6,7,7,10,7,13,9,7,7,9,9,7,12,11,6,7,12,7,7,11,15,6,8,7,7,10,12,13
8642,Bill Schwabenland,295.3,475.2,4,11,10,3,7,10,10,5,9,12,9,10,12,8,5,9,9,10,6,10,10,5,10,11,9,4,12,9,8,5,13
6050,Sarah Fuller,295.3,475.2,6,9,15,5,6,9,6,10,11,12,6,9,9,8,6,17,8,8,6,4,8,9,15,7,6,4,28,4,7,8,12
9998,Diana Abbott,295.3,475.2,7,6,13,6,9,7,15,10,8,10,12,10,16,10,6,12,10,0,20,13,10,13,15,10,6,0,4,8,0,7,3
11384,Calvin Kuo,295.2,475.1,10,0,17,0,8,7,10,9,0,22,0,7,7,8,0,20,20,3,6,10,9,7,20,12,5,10,7,8,8,4,17
2766,Joan Cook,295.2,475.1,7,7,22,5,8,5,4,13,6,9,5,5,7,5,7,20,6,5,6,6,4,9,10,17,10,6,6,5,9,27,14
220,Bronwyn McKeage,295.2,475.1,8,9,8,8,0,18,6,8,14,0,10,9,6,0,8,12,0,6,9,7,8,8,19,12,7,7,9,10,12,15,10
2042,Andy Henderson,295.2,475.0,10,21,6,5,6,2,10,6,24,0,5,8,5,0,11,20,6,0,6,0,11,10,21,10,8,0,9,6,22,20,14
17956,Katherine Kneller,295.2,475.0,0,0,0,0,0,0,22,9,6,11,6,15,9,7,9,6,9,9,2,12,9,17,7,12,9,12,9,16,10,12,14
13024,Brooke Morgan,295.1,474.9,10,0,16,4,10,5,4,10,8,13,5,11,8,5,11,5,20,5,11,6,5,15,13,6,13,5,11,5,12,7,17
1688,Darrel Folkert,295.1,474.9,8,13,12,4,9,5,6,3,12,9,4,7,6,7,3,14,6,5,8,10,8,5,16,10,8,10,5,10,10,19,12
1689,Jac Folkert,295.1,474.9,8,13,12,4,9,5,6,3,12,9,4,7,6,7,3,14,6,5,8,10,8,5,16,10,8,10,5,10,10,19,12
5486,Kristen Fish-Peterson,295.0,474.8,6,12,11,6,11,11,7,5,7,8,11,5,5,1,7,25,5,7,12,5,8,12,8,23,5,10,5,6,3,22,5
7633,Brianna Sacks,295.0,474.8,13,11,16,9,2,0,20,10,8,14,10,7,0,11,12,3,14,5,10,3,3,4,10,30,11,4,0,32,0,7,7
13122,Morten Lileng,294.9,474.6,0,18,8,0,9,8,9,9,10,12,0,9,10,8,9,20,8,0,12,10,8,8,18,10,0,6,10,6,8,20,4
6716,Richard Flint,294.9,474.5,20,10,3,3,3,10,4,17,4,3,10,8,15,20,10,4,6,5,13,8,4,3,50,3,3,5,10,14,11,5,0
568,Wendy Weigant,294.8,474.5,6,13,8,6,7,5,9,5,0,13,6,9,10,7,0,13,10,7,10,11,10,5,8,14,6,10,13,8,6,8,12
12243,Scott Baumeier,294.8,474.5,7,4,1,10,10,4,14,5,3,10,3,13,11,4,7,8,17,6,14,6,17,7,4,15,4,13,6,11,15,17,8
1772,Julia Mitton,294.8,474.5,12,8,6,10,9,18,7,12,11,9,3,10,14,11,10,9,9,8,4,0,6,7,9,10,6,4,15,0,6,22,0
11475,Tiffany Hammond,294.8,474.4,13,3,0,8,5,16,12,6,3,2,14,17,13,10,0,11,0,13,16,8,14,0,14,0,0,8,17,14,8,10,0
13313,Alayna Colburn,294.8,474.4,6,17,11,10,9,10,6,11,12,4,5,8,6,5,13,12,6,8,13,9,3,7,12,6,6,10,9,8,12,2,8
5476,Mark Slagle,294.8,474.4,11,7,8,12,5,15,11,3,15,4,14,11,7,5,9,13,0,5,6,8,9,9,16,3,14,7,16,11,0,17,8
99,Emily Ryan,294.7,474.3,15,31,0,5,6,0,6,7,0,13,5,6,5,6,10,5,24,0,5,0,0,69,0,3,11,5,0,10,6,11,13
2967,SIAWHUA LIM,294.6,474.1,6,7,12,8,5,8,10,11,11,13,8,7,9,4,0,14,14,0,14,11,0,14,0,26,7,26,9,0,24,0,16
9320,John Roberts,294.5,474.0,6,13,6,8,10,9,3,16,6,6,15,8,15,8,9,6,6,4,9,18,7,7,1,10,10,21,7,7,2,6,13
3375,Emmanuelle Dudon,294.5,474.0,7,9,16,0,10,8,14,5,0,0,0,0,14,18,0,16,15,20,4,10,12,9,19,0,19,9,14,0,6,18,7
10454,Margriet Brugman,294.5,474.0,7,5,12,6,11,7,11,5,6,6,14,6,6,7,12,6,9,13,7,11,7,14,7,9,7,10,10,10,10,6,6
5941,Mary Fletcher,294.5,473.9,10,10,5,10,11,7,11,5,10,6,10,11,9,5,5,10,21,8,5,11,7,5,7,8,8,10,5,11,3,13,12
6867,Kerry Rollins,294.4,473.7,6,6,8,6,8,8,8,7,5,15,6,10,10,8,7,17,10,4,13,6,10,4,10,20,0,8,7,9,9,12,20
18616,Charles Wellman,294.3,473.7,3,13,7,6,8,0,7,5,14,9,7,8,7,6,9,19,9,11,10,8,7,6,20,7,11,11,8,8,10,15,8
9245,Trevor Gill,294.3,473.6,9,9,6,6,6,10,3,0,22,10,9,9,14,6,9,6,8,0,13,0,16,16,16,8,17,8,0,0,7,10,13
3387,Dennis Stadelman,294.3,473.6,7,20,11,4,6,3,10,0,25,16,8,8,7,0,10,19,12,9,4,2,6,22,12,18,2,6,12,4,0,12,8
8675,Shane Foster,294.3,473.6,8,15,10,5,5,5,5,8,12,10,7,7,5,5,9,14,9,6,6,5,7,13,13,15,9,5,6,6,9,14,9
7909,Stephanie Hickman,294.3,473.6,10,5,6,3,7,9,9,7,6,13,4,7,9,10,10,7,15,0,10,15,13,12,11,18,7,9,12,10,10,13,9
449,Christopher Veska,294.3,473.6,4,19,6,5,13,9,6,0,22,0,12,0,0,19,8,20,4,6,11,8,12,0,0,23,7,9,10,10,0,18,5
9853,Gary Lynn,294.2,473.5,6,13,9,10,6,8,9,7,10,10,8,9,6,7,0,15,9,7,9,9,9,7,15,11,10,3,9,9,10,18,10
898,Charles Olson,294.1,473.3,7,4,14,8,0,15,10,2,7,6,0,15,14,13,0,0,0,0,0,0,20,9,21,19,0,19,13,13,6,15,0
13386,Jim Harbour,294.0,473.2,0,10,5,2,8,7,7,3,17,5,5,8,6,7,0,11,11,2,11,10,9,3,20,11,9,10,11,11,7,23,13
4096,Sherrie Rahbe,294.0,473.2,5,13,4,5,6,8,13,5,8,13,6,0,14,5,9,12,7,5,11,5,8,10,14,14,10,10,5,10,2,15,6
2772,Brett Mount,294.0,473.2,6,28,7,6,6,8,9,8,14,16,6,6,7,7,6,4,0,7,7,8,7,9,8,13,8,8,9,13,13,9,10
12427,Katherine Gines,294.0,473.1,5,6,5,18,8,10,9,6,10,11,6,10,3,11,6,10,23,5,9,8,5,9,12,12,3,11,3,11,6,13,4
16657,Monica Torres,294.0,473.1,0,0,4,5,4,8,3,5,4,9,10,8,22,11,10,18,23,7,14,7,15,9,13,23,0,8,10,10,11,23,0
3757,Ben Manning,294.0,473.1,8,0,17,15,7,12,7,10,12,0,7,7,7,7,5,0,15,11,7,0,8,7,7,5,24,13,6,9,13,7,33
8599,Kelly Hunston,293.9,473.0,6,11,4,8,8,5,10,5,14,11,9,5,6,8,10,5,15,5,9,11,16,8,7,9,9,10,9,4,9,3,20
6316,Pat Graves,293.8,472.9,9,11,4,6,6,6,7,3,8,6,4,9,9,13,0,10,11,10,10,10,10,22,9,6,11,5,11,4,17,12,9
3696,Michelle Akitt,293.8,472.9,9,10,4,8,10,11,8,9,11,7,7,6,19,7,5,15,6,3,4,9,13,9,6,8,13,12,8,8,6,4,8
9770,Tyler Tulloch,293.8,472.8,7,31,7,7,10,11,14,0,14,9,14,0,15,0,7,18,11,3,13,15,10,16,0,18,4,10,16,0,0,6,0
18527,Paul Harris,293.7,472.7,0,7,18,6,11,0,13,0,8,19,6,11,0,14,0,9,18,7,13,3,14,3,7,19,7,12,0,14,3,8,20
10144,Frank Vernaillen,293.7,472.6,10,7,0,0,0,8,7,0,11,21,10,8,10,16,5,14,19,8,8,10,0,7,19,7,10,6,6,14,0,5,0
13028,Phyllis Paro,293.7,472.6,11,15,15,5,7,10,7,10,10,15,5,7,8,7,6,13,8,8,8,6,7,12,10,10,10,9,5,7,5,10,7
1112,Ed Thomas,293.6,472.5,7,17,6,4,8,6,6,7,18,7,6,7,7,9,6,16,7,7,8,4,6,9,16,14,8,5,8,6,7,15,11
12350,Robin White,293.6,472.5,3,15,8,4,6,6,6,4,19,9,5,8,5,7,8,15,13,5,5,6,5,13,14,13,10,6,5,7,6,18,13
663,Teresa Vincent,293.5,472.3,7,7,7,10,5,6,6,6,6,8,8,13,9,10,8,10,7,11,8,12,6,12,9,10,9,6,15,7,10,9,7
1846,Ted Kelch,293.5,472.3,5,10,5,5,5,8,5,5,22,10,6,8,9,9,11,11,8,5,5,5,5,5,31,8,11,5,5,5,0,35,11
17194,Katya Malinova,293.5,472.3,0,0,0,8,4,7,10,9,21,5,7,5,10,7,3,21,6,8,5,11,9,15,7,8,5,11,11,10,9,8,27
2555,Christopher Bellevie,293.4,472.2,0,18,13,0,10,10,12,0,27,14,0,13,10,0,0,31,7,0,10,0,14,0,37,0,15,10,3,10,0,10,0
15397,Jannay Oiknine,293.4,472.2,6,14,7,7,9,6,8,7,7,11,8,9,7,8,8,15,7,7,9,7,7,7,14,6,9,8,8,8,8,15,10
9847,Tobey Davis,293.4,472.2,6,18,5,12,7,0,11,7,20,0,7,13,6,14,0,31,0,12,0,5,10,6,13,0,6,10,5,10,4,29,2
10756,kevin meisner,293.3,472.0,9,16,7,4,5,5,9,19,14,11,0,15,6,0,19,12,12,0,6,7,6,7,9,9,6,11,12,9,0,14,11
3444,Javier Soto,293.2,471.9,10,16,0,11,0,10,6,10,15,8,0,9,8,10,0,17,10,0,10,5,9,0,16,13,12,0,8,13,12,18,9
14047,Tom Krajna,293.2,471.8,2,16,6,3,3,6,7,0,11,20,4,6,10,7,3,12,20,6,4,8,6,4,7,21,15,3,9,7,4,17,20
1702,Sofia Noren,293.1,471.7,4,39,2,6,9,9,6,7,2,9,7,9,6,0,17,9,14,7,8,6,10,10,8,11,6,10,10,7,6,10,4
12399,Kevin Baskerville,293.0,471.6,7,6,18,6,9,3,7,12,4,13,7,3,7,9,8,5,17,4,8,3,12,3,20,4,17,6,6,6,14,14,6
16780,Andrew Webster,293.0,471.6,5,10,8,6,9,8,14,8,8,9,7,10,9,12,11,9,10,7,10,10,9,8,12,11,8,8,7,10,6,12,7
6440,Patrick Langan,293.0,471.5,3,9,6,9,10,10,6,10,10,9,9,12,10,10,5,12,10,10,13,9,11,7,0,11,10,9,10,5,9,15,5
14577,Helen Penn,293.0,471.5,0,10,15,8,3,10,10,12,3,15,8,10,8,8,3,8,10,10,10,7,10,5,5,12,10,5,13,10,5,10,15
15496,Oriana Yarid,293.0,471.5,0,18,4,11,10,4,12,4,19,5,11,10,4,12,12,18,5,11,10,3,12,4,18,0,5,10,3,4,12,14,4
19019,Tracy Bess,293.0,471.5,16,3,6,4,3,1,3,26,8,3,11,8,11,7,10,14,7,8,7,10,7,10,8,6,12,3,15,13,3,15,10
15470,Alison Phillips,293.0,471.5,3,6,5,11,3,8,11,8,13,7,6,12,9,9,12,8,11,7,12,7,11,8,15,7,9,8,8,10,10,12,6
16397,Natalie Lee,292.9,471.4,3,15,8,10,5,19,5,8,6,15,6,1,15,7,7,6,24,5,5,11,4,3,64,0,3,10,0,0,0,19,3
5138,Linda Vanburk,292.9,471.3,6,6,7,5,6,13,5,7,8,11,8,9,9,11,9,7,11,9,10,11,11,8,7,10,13,6,5,11,12,13,13
12040,Paul Speight,292.9,471.3,6,12,5,9,0,15,6,0,23,0,14,6,0,18,13,11,7,0,23,14,0,28,0,0,23,0,15,7,0,16,6
5842,Brad Peters,292.8,471.2,3,31,3,5,5,9,6,4,27,16,5,6,6,7,5,15,6,6,6,11,6,16,4,16,6,6,7,7,8,10,7
16831,Peter Nelson,292.8,471.1,5,6,5,8,5,12,6,6,3,12,5,13,8,9,6,32,5,7,9,9,12,5,11,8,10,6,6,4,6,28,7
8345,Amber Welch,292.7,471.1,3,15,13,3,5,7,7,2,9,3,20,21,19,10,21,8,9,3,5,7,3,5,10,9,3,10,6,8,4,16,7
5916,Anne Laschen,292.7,471.1,9,18,10,5,8,8,5,3,18,8,5,6,15,3,5,14,10,5,4,13,6,3,12,12,10,5,13,6,6,9,16
13451,Linda Pezza,292.7,471.0,5,13,13,5,5,6,10,6,11,12,11,8,5,8,11,10,7,8,5,9,8,10,8,9,10,7,6,6,13,12,14
5172,Matt Edwards,292.7,471.0,8,9,8,8,8,8,8,8,8,8,8,8,8,8,5,19,9,8,8,9,8,8,15,8,5,8,8,8,8,11,8
7664,Scott Reid,292.7,471.0,6,14,11,7,10,10,10,6,16,8,6,8,13,10,5,17,13,0,15,8,11,5,22,5,7,5,0,5,5,10,8
3825,Paul Becker,292.6,470.9,7,7,7,7,7,7,7,13,7,7,10,8,0,8,8,8,13,0,10,10,8,9,14,11,13,11,0,8,11,17,11
16246,Tacy Powers,292.6,470.9,7,13,5,5,7,4,5,7,0,28,5,5,8,7,9,16,11,6,7,7,9,5,12,18,9,10,10,7,7,14,14
3624,Jennifer Hoard,292.6,470.9,12,5,7,5,5,6,7,10,11,7,8,6,7,9,15,12,5,5,7,6,10,12,7,6,12,9,11,9,10,21,5
5499,Bethany Mills,292.5,470.8,6,12,17,6,9,3,6,6,7,10,1,9,7,8,9,9,19,9,9,6,4,13,10,7,15,8,3,9,7,7,18
2479,Matt Marcella,292.5,470.8,10,7,7,10,8,10,8,10,7,7,10,8,10,8,10,7,7,10,8,10,8,10,7,7,10,8,10,8,10,7,7
7656,Kathleen Tremblay,292.5,470.7,11,15,11,12,10,10,7,10,18,5,10,10,13,10,0,0,8,5,7,10,5,10,20,15,5,5,0,14,5,0,10
11125,Edward Underwood,292.5,470.7,6,6,6,7,8,6,8,11,10,10,6,7,8,9,10,11,10,7,8,9,9,13,13,0,17,12,12,13,12,0,0
5553,Reina Sheffield,292.5,470.7,9,13,8,9,12,10,11,5,17,6,2,11,9,2,5,15,5,10,9,11,8,6,16,10,12,10,8,7,3,0,10
18770,Stephen Mader,292.5,470.7,10,9,0,10,11,9,0,10,9,10,10,11,9,11,9,17,0,0,0,9,8,10,10,8,11,11,12,10,10,12,0
